product;sku;image_url;reason
Hennessy;;https://r.bing.com/rp/Fsa_OI0AplCnVoXGca8ALOo0S0s.svg;cannot identify image file <_io.BytesIO object at 0x0000018A8194BC40>
Hennessy;;https://r.bing.com/rp/UusW4P7f5q9mXctgEuZhyIziufA.svg;cannot identify image file <_io.BytesIO object at 0x0000018A8194BC40>
Hennessy;;https://r.bing.com/rp/4A9D07RlW6M7gPmPQQydX3khDJc.svg;cannot identify image file <_io.BytesIO object at 0x0000018A8194BC40>
Hennessy;;https://r.bing.com/rp/OHA5u4HW70mLbGkOE41WRDXcYTY.svg;cannot identify image file <_io.BytesIO object at 0x0000018A8194BC40>
Hennessy;;https://r.bing.com/rp/UzLAW1Q1WOatPD4L3XbeKD9b0Lg.svg;cannot identify image file <_io.BytesIO object at 0x0000018A8194BC40>
Hennessy;;https://tse1.mm.bing.net/th/id/OIP.UjrCGWeq2IBlbanutUQfiwHaEK?w=302&h=180&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 302x180
Hennessy;;https://tse2.mm.bing.net/th/id/OIP.PZPRX3Yabt1g8zvNpyPYEgHaE8?w=254&h=180&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 254x180
Hennessy;;https://tse1.mm.bing.net/th/id/OIP.TKV0S8e6PFyJiJsvDPFRKAHaHa?w=170&h=180&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 170x180
Hennessy;;https://tse3.mm.bing.net/th/id/OIP._kGG4N5HqsYwITBEsHjmjQHaE8?w=254&h=180&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 254x180
Hennessy;;https://tse3.mm.bing.net/th/id/OIP.t3zffxCZxFP29osRvW4OBQHaE8?w=248&h=180&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 248x180
Hennessy;;https://tse3.mm.bing.net/th/id/OIP.4AK856QU2V5M1Fgy2CtLtgHaHa?w=166&h=180&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 166x180
Hennessy;;https://tse2.mm.bing.net/th/id/OIP.gcfl6v_6Rt3vsE73OXKLEwHaD4?w=317&h=180&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 317x180
Hennessy;;https://tse4.mm.bing.net/th/id/OIP.ZDtPP-mmabEmrO9nnolRqgHaE8?w=249&h=180&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 249x180
Hennessy;;https://tse2.mm.bing.net/th/id/OIP.vLHjLEXjrdhU_7_a9C8HQQHaFj?w=271&h=203&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 271x203
Hennessy;;https://tse1.mm.bing.net/th/id/OIP.XXbkThMlKeuU7xtzr3AR6wHaE8?w=304&h=203&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 304x203
Hennessy;;https://tse2.mm.bing.net/th/id/OIP.G570R0aBGBJL7MWD6kfinAHaHa?w=203&h=203&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 203x203
Hennessy;;https://tse3.mm.bing.net/th/id/OIP.Ayr5SnSRypbSOwWEadVY2QHaHa?w=202&h=203&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 202x203
Hennessy;;https://tse1.mm.bing.net/th/id/OIP.Ot2A00P60Z8d6EbiEIigDgHaFp?w=279&h=213&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 279x213
Hennessy;;https://tse3.mm.bing.net/th/id/OIP.Z7Zp9WaE7hS36sQtCKQZrgHaHa?w=213&h=213&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 213x213
Hennessy;;https://tse1.mm.bing.net/th/id/OIP.sHWZweMRiH2W_aK9BL2hQAHaFt?w=276&h=213&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 276x213
Hennessy;;https://tse4.mm.bing.net/th/id/OIP._Br5rNyL2qb2KvVSd5RyJgHaHa?w=212&h=213&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 212x213
Hennessy;;https://tse4.mm.bing.net/th/id/OIP.Qg49eRqVmYnP7sfB1zJh6AHaHa?w=154&h=180&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 154x180
Camus scotch;;https://r.bing.com/rp/r31GrT0Eaf_5sPyu1TswcyPA8VI.svg;cannot identify image file <_io.BytesIO object at 0x0000018A81501B20>
Camus scotch;;https://r.bing.com/rp/fdVZU4ttbw8NDRm6H3I5BW3_vCo.svg;cannot identify image file <_io.BytesIO object at 0x0000018A81501B70>
Camus scotch;;https://r.bing.com/rp/4L4QdyjTv0HYE2Ig2ol9eYoqxg8.svg;cannot identify image file <_io.BytesIO object at 0x0000018A81501BC0>
Camus scotch;;https://r.bing.com/rp/Fsa_OI0AplCnVoXGca8ALOo0S0s.svg;cannot identify image file <_io.BytesIO object at 0x0000018A81501AD0>
Camus scotch;;https://r.bing.com/rp/UusW4P7f5q9mXctgEuZhyIziufA.svg;cannot identify image file <_io.BytesIO object at 0x0000018A81501BC0>
Camus scotch;;https://r.bing.com/rp/4A9D07RlW6M7gPmPQQydX3khDJc.svg;cannot identify image file <_io.BytesIO object at 0x0000018A81501CB0>
Camus scotch;;https://r.bing.com/rp/OHA5u4HW70mLbGkOE41WRDXcYTY.svg;cannot identify image file <_io.BytesIO object at 0x0000018A81501C10>
Camus scotch;;https://r.bing.com/rp/UzLAW1Q1WOatPD4L3XbeKD9b0Lg.svg;cannot identify image file <_io.BytesIO object at 0x0000018A81501D50>
Camus scotch;;https://tse2.mm.bing.net/th/id/OIP.ybAfzPlftnct9_iK8mhtQgHaFN?w=240&h=180&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 240x180
Camus scotch;;https://tse3.mm.bing.net/th/id/OIP.y2E-B8HtLUT8xi41oGYODAHaIs?w=143&h=180&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 143x180
Camus scotch;;https://tse3.mm.bing.net/th/id/OIP.NQath2SqlMNxdkaPklF-kgHaEM?w=297&h=180&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 297x180
Camus scotch;;https://tse4.mm.bing.net/th/id/OIP.tPQ-XHI6M8LTmcMJSgOrkwHaEK?w=300&h=180&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 300x180
Camus scotch;;https://tse3.mm.bing.net/th/id/OIP.RbxJw74mMoDxLUW6z7BawgHaF2?w=183&h=180&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 183x180
Camus scotch;;https://tse3.mm.bing.net/th/id/OIP.S8E7Ifp9NWz2XS8SksdHtQHaEK?w=257&h=180&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 257x180
Camus scotch;;https://tse4.mm.bing.net/th/id/OIP.cZ7b1_ttcnNWiIN7Q1vL2QHaDF?w=282&h=145&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 282x145
Camus scotch;;https://tse1.mm.bing.net/th/id/OIP.YTOxqIn46mLbZf_sh63SygHaEK?w=258&h=180&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 258x180
Camus scotch;;https://tse2.mm.bing.net/th/id/OIP.GOmC40eYZE1VBJJYhJLNuwHaEL?w=284&h=180&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 284x180
Camus scotch;;https://tse1.mm.bing.net/th/id/OIP.S4Fo6OBSSjGnWwqg9OwDLAHaFi?w=213&h=180&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 213x180
Camus scotch;;https://tse2.mm.bing.net/th/id/OIP._VQmAwxi4O-n2se_B_YMDgHaGB?w=197&h=180&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 197x180
Camus scotch;;https://tse3.mm.bing.net/th/id/OIP.BUISjtgQCFpRYDFgcv1_NQHaEJ?w=286&h=180&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 286x180
Camus scotch;;https://tse2.mm.bing.net/th/id/OIP.AY3Ecu5bdt2eRhohV3tN0QHaE8?w=235&h=180&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 235x180
Camus scotch;;https://tse3.mm.bing.net/th/id/OIP.WarGKo2MAilAk9kPicv_VgHaEJ?w=280&h=180&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 280x180
Camus scotch;;https://tse4.mm.bing.net/th/id/OIP.n1KdmoWRhHcFla40WonRUgHaFa?w=215&h=180&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 215x180
Camus scotch;;https://tse1.mm.bing.net/th/id/OIP.G4TlSmUnCK9PmzYvCnSZYwHaEo?w=250&h=180&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 250x180
Camus scotch;;https://tse4.mm.bing.net/th/id/OIP.V_-mlXTo-LJ4u4aBbXLU6QHaFW?w=198&h=180&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 198x180
Martell;;https://r.bing.com/rp/r31GrT0Eaf_5sPyu1TswcyPA8VI.svg;cannot identify image file <_io.BytesIO object at 0x0000018A8194BA10>
Martell;;https://r.bing.com/rp/fdVZU4ttbw8NDRm6H3I5BW3_vCo.svg;cannot identify image file <_io.BytesIO object at 0x0000018A8194BA10>
Martell;;https://r.bing.com/rp/4L4QdyjTv0HYE2Ig2ol9eYoqxg8.svg;cannot identify image file <_io.BytesIO object at 0x0000018A8194BA10>
Martell;;https://r.bing.com/rp/Fsa_OI0AplCnVoXGca8ALOo0S0s.svg;cannot identify image file <_io.BytesIO object at 0x0000018A8194BA10>
Martell;;https://r.bing.com/rp/UusW4P7f5q9mXctgEuZhyIziufA.svg;cannot identify image file <_io.BytesIO object at 0x0000018A8194BA10>
